    seq_length   patterns  mean_pat_length  time_std     speedup
0       1024.0     1024.0             16.0  0.000066    0.840232
4       1024.0    32768.0             16.0  0.003981    0.634652
8       1024.0  1048576.0             16.0  0.000861    0.503299
1       1024.0     1024.0             64.0  0.000121    1.042873
5       1024.0    32768.0             64.0  0.002272    0.832950
9       1024.0  1048576.0             64.0  0.112115    0.611882
2       1024.0     1024.0            256.0  0.000333    0.904403
6       1024.0    32768.0            256.0  0.004216    0.654721
10      1024.0  1048576.0            256.0  0.152228    0.509129
3       1024.0     1024.0           1024.0  0.000063    0.096864
7       1024.0    32768.0           1024.0  0.006505    0.078062
11     32768.0     1024.0             16.0  0.000033   15.856279
12   1048576.0     1024.0             16.0  0.002798   33.555087
13   1048576.0     1024.0             64.0  0.001718  148.690512
14   1048576.0     1024.0            256.0  0.002306  143.174438
15   1048576.0     1024.0           1024.0  0.002062  144.117474
16   1048576.0     1024.0           4096.0  0.000047  147.329866
17   1048576.0     1024.0        1048576.0  0.000000    2.730290
