     processes  threads  seq_length   patterns  mean_pat_length  time_std    speedup
0          4.0      2.0      1024.0     1024.0             16.0  0.000388   2.266797
54         4.0      2.0     32768.0     1024.0             16.0  0.004408   6.341865
104        4.0      2.0   1048576.0     1024.0             16.0  0.000000  13.508076
1          4.0      4.0      1024.0     1024.0             16.0  0.000000   1.082961
105        4.0      4.0   1048576.0     1024.0             16.0  0.000000  25.101559
2          4.0      8.0      1024.0     1024.0             16.0  0.000000   0.985268
55         4.0      8.0     32768.0     1024.0             16.0  0.007779   1.322979
56         8.0      4.0     32768.0     1024.0             16.0  0.000000   1.774160
57         8.0      8.0     32768.0     1024.0             16.0  0.019517   0.521528
3          4.0      2.0      1024.0     1024.0             64.0  0.000136   3.301868
58         4.0      2.0     32768.0     1024.0             64.0  0.000697  10.448605
106        4.0      2.0   1048576.0     1024.0             64.0  0.010366  12.886643
4          4.0      4.0      1024.0     1024.0             64.0  0.000000   1.486176
59         4.0      4.0     32768.0     1024.0             64.0  0.001180  14.608495
5          4.0      8.0      1024.0     1024.0             64.0  0.000138   1.165042
60         4.0      8.0     32768.0     1024.0             64.0  0.031834   1.560104
107        4.0      8.0   1048576.0     1024.0             64.0  0.025746  19.270527
6          8.0      2.0      1024.0     1024.0             64.0  0.000782   1.741570
108        8.0      2.0   1048576.0     1024.0             64.0  0.000000  19.437967
7          8.0      4.0      1024.0     1024.0             64.0  0.000000   1.359544
61         8.0      4.0     32768.0     1024.0             64.0  0.000000   3.319005
62         8.0      8.0     32768.0     1024.0             64.0  0.043138   0.722399
109        8.0      8.0   1048576.0     1024.0             64.0  0.000000  14.030345
8          4.0      2.0      1024.0     1024.0            256.0  0.001219   2.104988
63         4.0      2.0     32768.0     1024.0            256.0  0.000034  10.712093
110        4.0      2.0   1048576.0     1024.0            256.0  0.013326  12.210139
9          4.0      4.0      1024.0     1024.0            256.0  0.000583   1.245482
64         4.0      4.0     32768.0     1024.0            256.0  0.000061  15.338153
10         4.0      8.0      1024.0     1024.0            256.0  0.000683   1.004468
65         4.0      8.0     32768.0     1024.0            256.0  0.010014   2.074427
111        4.0      8.0   1048576.0     1024.0            256.0  0.001358  20.201746
