     processes  threads  seq_length   patterns  mean_pat_length  time_std    speedup
0          4.0      2.0      1024.0     1024.0             16.0  0.000236   3.100320
72         4.0      2.0     32768.0     1024.0             16.0  0.001614   6.244895
132        4.0      2.0   1048576.0     1024.0             16.0  0.023469   7.393120
1          4.0      4.0      1024.0     1024.0             16.0  0.000273   3.504709
73         4.0      4.0     32768.0     1024.0             16.0  0.000321  10.659070
133        4.0      4.0   1048576.0     1024.0             16.0  0.009593  13.735973
2          4.0      8.0      1024.0     1024.0             16.0  0.000411   2.982432
74         4.0      8.0     32768.0     1024.0             16.0  0.000877  12.523906
134        4.0      8.0   1048576.0     1024.0             16.0  0.009744  19.683649
3          8.0      2.0      1024.0     1024.0             16.0  0.001383   2.121271
75         8.0      2.0     32768.0     1024.0             16.0  0.000973  10.269677
135        8.0      2.0   1048576.0     1024.0             16.0  0.006088  13.821933
4          8.0      4.0      1024.0     1024.0             16.0  0.000031   4.913481
76         8.0      4.0     32768.0     1024.0             16.0  0.000123  15.277057
136        8.0      4.0   1048576.0     1024.0             16.0  0.004933  22.484778
5          8.0      8.0      1024.0     1024.0             16.0  0.000029   4.374180
77         8.0      8.0     32768.0     1024.0             16.0  0.019517   0.521528
6          4.0      2.0      1024.0     1024.0             64.0  0.000065   4.817697
78         4.0      2.0     32768.0     1024.0             64.0  0.001138   7.353934
137        4.0      2.0   1048576.0     1024.0             64.0  0.029591   7.887037
7          4.0      4.0      1024.0     1024.0             64.0  0.000283   4.579556
79         4.0      4.0     32768.0     1024.0             64.0  0.000224  12.314914
138        4.0      4.0   1048576.0     1024.0             64.0  0.013263  15.299542
8          4.0      8.0      1024.0     1024.0             64.0  0.000063   5.443143
80         4.0      8.0     32768.0     1024.0             64.0  0.000515  14.059047
139        4.0      8.0   1048576.0     1024.0             64.0  0.008442  26.010955
9          8.0      2.0      1024.0     1024.0             64.0  0.000077   4.892140
81         8.0      2.0     32768.0     1024.0             64.0  0.000723  12.897303
140        8.0      2.0   1048576.0     1024.0             64.0  0.016837  14.599963
10         8.0      4.0      1024.0     1024.0             64.0  0.000050   5.947123
82         8.0      4.0     32768.0     1024.0             64.0  0.000270  18.711731
141        8.0      4.0   1048576.0     1024.0             64.0  0.002576  24.963741
11         8.0      8.0      1024.0     1024.0             64.0  0.000151   4.788436
83         8.0      8.0     32768.0     1024.0             64.0  0.043138   0.722399
142        8.0      8.0   1048576.0     1024.0             64.0  0.000000  14.030345
12         4.0      2.0      1024.0     1024.0            256.0  0.000046   3.998251
84         4.0      2.0     32768.0     1024.0            256.0  0.000948   7.531481
143        4.0      2.0   1048576.0     1024.0            256.0  0.017731   7.980344
13         4.0      4.0      1024.0     1024.0            256.0  0.000058   5.411143
85         4.0      4.0     32768.0     1024.0            256.0  0.000183  12.152741
144        4.0      4.0   1048576.0     1024.0            256.0  0.006074  15.907386
14         4.0      8.0      1024.0     1024.0            256.0  0.000279   4.259535
86         4.0      8.0     32768.0     1024.0            256.0  0.001360  15.659432
145        4.0      8.0   1048576.0     1024.0            256.0  0.006596  25.888206
